Seq,Task ID,Title,Category,Implementation Status,Requirement Ref,Screen,Route,Page Entry,Depends On,Expected Files,Priority,Verify,Detail File,wave_id
11,COMP-SCR001-SAFETY-PANEL,국가별 주의사항 6개 Card+Drawer,Component,IMPLEMENT,"REQ-FUNC-047, REQ-FUNC-048, REQ-FUNC-049, REQ-FUNC-050, REQ-FUNC-051, REQ-FUNC-053, REQ-FUNC-054, REQ-NF-028",SCR-001,`/`,`src/app/page.tsx`,DATA-SAFETY,`src/components/home/SafetyPanel.tsx`,P0,E2E-PUBLIC-SMOKE,TASK-COMP-SCR001-SAFETY-PANEL.md,W08
12,COMP-SCR001-MATES-TEASER,최근 동행글 3개/Empty State,Component,IMPLEMENT,-,SCR-001,`/`,`src/app/page.tsx`,"API-MATE-POSTS, COMP-GLOBAL-EMPTY-STATE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/home/MatesTeaser.tsx`,P1,E2E-PUBLIC-SMOKE,TASK-COMP-SCR001-MATES-TEASER.md,W08
13,COMP-SCR001-FOUNDER-BAND,free_traveler 요약+CTA,Component,IMPLEMENT,"REQ-FUNC-057, REQ-FUNC-063",SCR-001,`/`,`src/app/page.tsx`,DATA-REPRESENTATIVE,`src/components/home/FounderBand.tsx`,P1,E2E-PUBLIC-SMOKE,TASK-COMP-SCR001-FOUNDER-BAND.md,W08
14,COMP-SCR002-HERO,Profile Hero,Component,IMPLEMENT,-,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,`src/components/about/ProfileHero.tsx`,P1,E2E-PUBLIC-SMOKE,TASK-COMP-SCR002-HERO.md,W12
15,COMP-SCR002-STATS,여행 지표,Component,IMPLEMENT,REQ-FUNC-057,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,`src/components/about/Stats.tsx`,P1,E2E-PUBLIC-SMOKE,TASK-COMP-SCR002-STATS.md,W12
16,COMP-SCR002-INTRO,소개·철학,Component,IMPLEMENT,"REQ-FUNC-058, REQ-FUNC-062",SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,`src/components/about/Intro.tsx`,P2,E2E-PUBLIC-SMOKE,TASK-COMP-SCR002-INTRO.md,W12
17,COMP-SCR002-TIMELINE,여행 Timeline 6개 이상,Component,IMPLEMENT,REQ-FUNC-060,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,`src/components/about/Timeline.tsx`,P1,E2E-PUBLIC-SMOKE,TASK-COMP-SCR002-TIMELINE.md,W12
18,COMP-SCR002-COUNTRY-CHIPS,방문 국가 30개 Chip,Component,IMPLEMENT,REQ-FUNC-059,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,`src/components/about/CountryChips.tsx`,P2,E2E-PUBLIC-SMOKE,TASK-COMP-SCR002-COUNTRY-CHIPS.md,W12
19,COMP-SCR002-GALLERY,Gallery 8장 이상,Component,IMPLEMENT,REQ-FUNC-061,SCR-002,`/about`,`src/app/about/page.tsx`,DATA-REPRESENTATIVE,`src/components/about/Gallery.tsx`,P1,E2E-PUBLIC-SMOKE,TASK-COMP-SCR002-GALLERY.md,W12
20,COMP-SCR002-MEMORABLE-CTA,기억에 남는 여행지 4개+CTA,Component,IMPLEMENT,REQ-FUNC-063,SCR-002,`/about`,`src/app/about/page.tsx`,"DATA-REPRESENTATIVE, COMP-SCR001-DEST-DRAWER",`src/components/about/MemorableCta.tsx`,P2,E2E-PUBLIC-SMOKE,TASK-COMP-SCR002-MEMORABLE-CTA.md,W12
21,COMP-SCR003-INTRO-TABS-SHELL,Intro 3단계 안내+탭 컨테이너,Component,IMPLEMENT,-,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,COMP-GLOBAL-DESIGN-TOKENS,`src/components/travel-tools/IntroTabsShell.tsx`,P1,"E2E-TRAVEL-TOOLS, E2E-MATE-AUTH, UNIT-TRAVEL-DATES",TASK-COMP-SCR003-INTRO-TABS-SHELL.md,W14
22,COMP-SCR003-FLIGHT-FORM,항공편 조건 입력(항공 영역),Component,IMPLEMENT,"REQ-FUNC-011, REQ-FUNC-012, REQ-FUNC-013, REQ-FUNC-015, REQ-FUNC-017, REQ-NF-017",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,COMP-SCR003-INTRO-TABS-SHELL,`src/components/travel-tools/FlightForm.tsx`,P0,"E2E-TRAVEL-TOOLS, E2E-MATE-AUTH, UNIT-TRAVEL-DATES",TASK-COMP-SCR003-FLIGHT-FORM.md,W15
23,COMP-SCR003-HOTEL-FORM,숙소 조건 입력(숙소 영역),Component,IMPLEMENT,"REQ-FUNC-019, REQ-FUNC-020, REQ-FUNC-021, REQ-FUNC-023, REQ-FUNC-025, REQ-NF-017",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,COMP-SCR003-INTRO-TABS-SHELL,`src/components/travel-tools/HotelForm.tsx`,P0,"E2E-TRAVEL-TOOLS, E2E-MATE-AUTH, UNIT-TRAVEL-DATES",TASK-COMP-SCR003-HOTEL-FORM.md,W15
24,COMP-SCR003-SUMMARY-ACTION,입력 요약+외부 이동 Action Card,Component,IMPLEMENT,"REQ-FUNC-014, REQ-FUNC-016, REQ-FUNC-018, REQ-FUNC-022, REQ-FUNC-024, REQ-FUNC-026, REQ-FUNC-054",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"COMP-SCR003-FLIGHT-FORM, COMP-SCR003-HOTEL-FORM",`src/components/travel-tools/SummaryAction.tsx`,P0,"E2E-TRAVEL-TOOLS, E2E-MATE-AUTH, UNIT-TRAVEL-DATES",TASK-COMP-SCR003-SUMMARY-ACTION.md,W16
25,COMP-SCR003-TIPS,찾기 Tip 3개,Component,IMPLEMENT,-,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,-,`src/components/travel-tools/Tips.tsx`,P2,"E2E-TRAVEL-TOOLS, E2E-MATE-AUTH, UNIT-TRAVEL-DATES",TASK-COMP-SCR003-TIPS.md,W14
26,COMP-SCR003-MATE-LOGIN-GATE,동행 작성(동행 작성 영역) — 로그인/성인인증 게이트,Component,IMPLEMENT,"REQ-FUNC-027, REQ-FUNC-028",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"API-AUTH-PROFILE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/travel-tools/MateLoginGate.tsx`,P0,"E2E-TRAVEL-TOOLS, E2E-MATE-AUTH, UNIT-TRAVEL-DATES",TASK-COMP-SCR003-MATE-LOGIN-GATE.md,W14
27,COMP-SCR003-MATE-WRITE-FORM,동행 작성(동행 작성 영역) — 작성 Form+안전 안내,Component,IMPLEMENT,"REQ-FUNC-031, REQ-FUNC-032, REQ-FUNC-080",SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,"COMP-SCR003-MATE-LOGIN-GATE, API-MATE-POSTS, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/travel-tools/MateWriteForm.tsx`,P0,"E2E-TRAVEL-TOOLS, E2E-MATE-AUTH, UNIT-TRAVEL-DATES",TASK-COMP-SCR003-MATE-WRITE-FORM.md,W15
28,COMP-SCR004-FILTER-BAR,필터(국가/지역/기간/연령대/성별/스타일/모집상태),Component,IMPLEMENT,"REQ-FUNC-030, REQ-NF-004",SCR-004,`/mates`,`src/app/mates/page.tsx`,API-MATE-POSTS,`src/components/mates/FilterBar.tsx`,P0,"E2E-MATE-AUTH, TEST-RLS-BASIC, UNIT-MATE-STATE",TASK-COMP-SCR004-FILTER-BAR.md,W18
29,COMP-SCR004-POST-LIST,동행글 목록(최대 8개),Component,IMPLEMENT,"REQ-FUNC-033, REQ-FUNC-037",SCR-004,`/mates`,`src/app/mates/page.tsx`,"COMP-SCR004-FILTER-BAR, API-MATE-POSTS, COMP-GLOBAL-EMPTY-STATE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/mates/PostList.tsx`,P0,"E2E-MATE-AUTH, TEST-RLS-BASIC, UNIT-MATE-STATE",TASK-COMP-SCR004-POST-LIST.md,W19
30,COMP-SCR004-DETAIL-PANEL,상세(Desktop 분할/Mobile Drawer),Component,IMPLEMENT,"REQ-FUNC-036, REQ-FUNC-038, REQ-FUNC-044, REQ-FUNC-069",SCR-004,`/mates`,`src/app/mates/page.tsx`,"COMP-SCR004-POST-LIST, API-MATE-POSTS, DB-RLS-BASE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/mates/DetailPanel.tsx`,P0,"E2E-MATE-AUTH, TEST-RLS-BASIC, UNIT-MATE-STATE",TASK-COMP-SCR004-DETAIL-PANEL.md,W20
31,COMP-SCR004-APPLY-FORM,참가 요청 Form(500자 이내)+신청 방법 3단계,Component,IMPLEMENT,"REQ-FUNC-034, REQ-FUNC-035",SCR-004,`/mates`,`src/app/mates/page.tsx`,"COMP-SCR004-DETAIL-PANEL, API-MATE-APPLICATIONS, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/mates/ApplyForm.tsx`,P0,"E2E-MATE-AUTH, TEST-RLS-BASIC, UNIT-MATE-STATE",TASK-COMP-SCR004-APPLY-FORM.md,W21
32,COMP-SCR004-REPORT-ACTION,신고(사유 코드+설명),Component,IMPLEMENT,"REQ-FUNC-039, REQ-NF-019",SCR-004,`/mates`,`src/app/mates/page.tsx`,"COMP-SCR004-DETAIL-PANEL, API-BLOCKS-REPORTS, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/mates/ReportAction.tsx`,P1,"E2E-MATE-AUTH, TEST-RLS-BASIC, UNIT-MATE-STATE",TASK-COMP-SCR004-REPORT-ACTION.md,W21
33,COMP-SCR004-BLOCK-ACTION,차단·해제+안전 안내 CTA,Component,IMPLEMENT,REQ-FUNC-040,SCR-004,`/mates`,`src/app/mates/page.tsx`,"COMP-SCR004-DETAIL-PANEL, API-BLOCKS-REPORTS, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/mates/BlockAction.tsx`,P1,"E2E-MATE-AUTH, TEST-RLS-BASIC, UNIT-MATE-STATE",TASK-COMP-SCR004-BLOCK-ACTION.md,W21
34,COMP-SCR005-AUTH,Guest — 로그인/가입/비밀번호 재설정,Component,IMPLEMENT,"REQ-FUNC-027, REQ-FUNC-028, REQ-FUNC-066",SCR-005,`/account`,`src/app/account/page.tsx`,"API-AUTH-PROFILE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/account/Auth.tsx`,P0,"E2E-MATE-AUTH, TEST-RLS-BASIC",TASK-COMP-SCR005-AUTH.md,W23
35,COMP-SCR005-PROFILE,Member — 프로필·성인 확인 요약,Component,IMPLEMENT,REQ-FUNC-029,SCR-005,`/account`,`src/app/account/page.tsx`,"COMP-SCR005-AUTH, API-AUTH-PROFILE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/account/Profile.tsx`,P0,"E2E-MATE-AUTH, TEST-RLS-BASIC",TASK-COMP-SCR005-PROFILE.md,W24
36,COMP-SCR005-MY-ACTIVITY,Member — My Activity(내 글/참가요청/차단/즐겨찾기),Component,IMPLEMENT,"REQ-FUNC-040, REQ-FUNC-068",SCR-005,`/account`,`src/app/account/page.tsx`,"API-MATE-POSTS, API-MATE-APPLICATIONS, API-BLOCKS-REPORTS, COMP-GLOBAL-EMPTY-STATE, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/account/MyActivity.tsx`,P0,"E2E-MATE-AUTH, TEST-RLS-BASIC",TASK-COMP-SCR005-MY-ACTIVITY.md,W23
37,COMP-SCR005-ADMIN-REPORTS,Admin — 신고 상태 변경+글 숨김,Component,IMPLEMENT,"REQ-FUNC-041, REQ-FUNC-042",SCR-005,`/account`,`src/app/account/page.tsx`,"API-BLOCKS-REPORTS, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/account/AdminReports.tsx`,P1,"E2E-MATE-AUTH, TEST-RLS-BASIC",TASK-COMP-SCR005-ADMIN-REPORTS.md,W23
38,COMP-SCR005-ADMIN-URL-SETTINGS,Admin — 항공·숙소 외부 URL 설정,Component,IMPLEMENT,REQ-FUNC-077,SCR-005,`/account`,`src/app/account/page.tsx`,"API-ADMIN-SETTINGS, COMP-GLOBAL-LOADING-STATE, COMP-GLOBAL-ERROR-STATE",`src/components/account/AdminUrlSettings.tsx`,P1,"E2E-MATE-AUTH, TEST-RLS-BASIC",TASK-COMP-SCR005-ADMIN-URL-SETTINGS.md,W23
39,COMP-GLOBAL-HEADER-FOOTER,전역 Header/Footer,Component,IMPLEMENT,"REQ-FUNC-064, REQ-FUNC-079",전역(5개 Screen),전체,`src/app/layout.tsx`,COMP-GLOBAL-DESIGN-TOKENS,"`src/components/shared/Header.tsx`, `src/components/shared/Footer.tsx`",P0,"MANUAL-ACCESSIBILITY-KEYBOARD, MANUAL-RESPONSIVE-DENSITY",TASK-COMP-GLOBAL-HEADER-FOOTER.md,W02
40,COMP-GLOBAL-TOAST,인앱 Toast(접수/승인/거절/신고 알림),Component,IMPLEMENT,REQ-FUNC-043,전역(SCR-003·004·005),전체,`src/app/layout.tsx`,COMP-GLOBAL-DESIGN-TOKENS,`src/components/shared/Toast.tsx`,P0,"MANUAL-ACCESSIBILITY-KEYBOARD, MANUAL-RESPONSIVE-DENSITY",TASK-COMP-GLOBAL-TOAST.md,W02
41,COMP-GLOBAL-EMPTY-STATE,완성형 Empty State 재사용 블록,Component,IMPLEMENT,-,전역,전체,`src/app/layout.tsx`,-,`src/components/shared/EmptyState.tsx`,P0,"MANUAL-ACCESSIBILITY-KEYBOARD, MANUAL-RESPONSIVE-DENSITY",TASK-COMP-GLOBAL-EMPTY-STATE.md,W01
42,COMP-GLOBAL-DESIGN-TOKENS,Tailwind 디자인 토큰(D-001 반영),Component,IMPLEMENT,"REQ-FUNC-065, REQ-NF-006",전역,전체,`src/app/layout.tsx`,-,"`tailwind.config.ts`, `src/app/globals.css`(수정)",P0,"MANUAL-ACCESSIBILITY-KEYBOARD, MANUAL-RESPONSIVE-DENSITY",TASK-COMP-GLOBAL-DESIGN-TOKENS.md,W01
70,COMP-GLOBAL-LOADING-STATE,재사용 Loading State,Component,IMPLEMENT,-,전역,전체,`src/app/layout.tsx`,COMP-GLOBAL-DESIGN-TOKENS,`src/components/shared/LoadingState.tsx`,P0,"MANUAL-ACCESSIBILITY-KEYBOARD, MANUAL-RESPONSIVE-DENSITY",TASK-COMP-GLOBAL-LOADING-STATE.md,W02
71,COMP-GLOBAL-ERROR-STATE,재사용 Error State(재시도 포함),Component,IMPLEMENT,-,전역,전체,`src/app/layout.tsx`,COMP-GLOBAL-DESIGN-TOKENS,`src/components/shared/ErrorState.tsx`,P0,"MANUAL-ACCESSIBILITY-KEYBOARD, MANUAL-RESPONSIVE-DENSITY",TASK-COMP-GLOBAL-ERROR-STATE.md,W02
43,COMP-TECH-ERROR-PAGES,404/500 복구 화면,Technical Route,IMPLEMENT,REQ-FUNC-078,기술 Route,`not-found` / `error`,"`src/app/not-found.tsx`, `src/app/error.tsx`",COMP-GLOBAL-DESIGN-TOKENS,"`src/app/not-found.tsx`, `src/app/error.tsx`",P1,E2E-PUBLIC-SMOKE,TASK-COMP-TECH-ERROR-PAGES.md,W02
44,COMP-TECH-POLICY-PAGES,이용약관·개인정보처리방침·동행 안전수칙·콘텐츠 면책,Technical Route,IMPLEMENT,REQ-FUNC-080,기술 Route,`/policies/*`,`src/app/policies/terms/page.tsx` 등,COMP-GLOBAL-DESIGN-TOKENS,"`src/app/policies/terms/page.tsx`, `.../privacy/page.tsx`, `.../mate-safety/page.tsx`, `.../content-disclaimer/page.tsx`",P2,E2E-PUBLIC-SMOKE,TASK-COMP-TECH-POLICY-PAGES.md,W02
45,DATA-DESTINATIONS,여행지 정적 데이터(국내 10+/해외 15개국 30도시+),Data,IMPLEMENT,"REQ-FUNC-001, REQ-FUNC-004, REQ-FUNC-007, REQ-FUNC-009, REQ-NF-026",SCR-001,`/`,-,-,`src/data/destinations.ts`,P0,DATA-VALIDATION-SCRIPT 자체 실행(CI-QUALITY-GATE에 포함),TASK-DATA-DESTINATIONS.md,W01
46,DATA-SAFETY,국가 안전정보 정적 데이터(8개 카테고리),Data,IMPLEMENT,"REQ-FUNC-046, REQ-FUNC-047, REQ-FUNC-048, REQ-FUNC-053, REQ-NF-027",SCR-001,`/`,-,-,`src/data/safety.ts`,P0,DATA-VALIDATION-SCRIPT 자체 실행(CI-QUALITY-GATE에 포함),TASK-DATA-SAFETY.md,W01
47,DATA-REPRESENTATIVE,대표 소개 정적 데이터(지표/Timeline/방문국가/Gallery),Data,IMPLEMENT,"REQ-FUNC-057, REQ-FUNC-058, REQ-FUNC-059, REQ-FUNC-060, REQ-FUNC-061, REQ-FUNC-062, REQ-FUNC-063","SCR-001, SCR-002","`/`, `/about`",-,-,`src/data/representative.ts`,P1,DATA-VALIDATION-SCRIPT 자체 실행(CI-QUALITY-GATE에 포함),TASK-DATA-REPRESENTATIVE.md,W01
48,DATA-VALIDATION-SCRIPT,게시 기준 수량·완전성 빌드 타임 검증,Data,IMPLEMENT,"REQ-FUNC-008, REQ-FUNC-046, REQ-FUNC-052, REQ-FUNC-074, REQ-NF-026, REQ-NF-027",-,-,-,"DATA-DESTINATIONS, DATA-SAFETY, DATA-REPRESENTATIVE",`scripts/validate-content.ts`,P0,DATA-VALIDATION-SCRIPT 자체 실행(CI-QUALITY-GATE에 포함),TASK-DATA-VALIDATION-SCRIPT.md,W02
49,DB-SCHEMA-BASE,6개 테이블 스키마(profiles/mate_posts/mate_applications/user_blocks/reports/outbound_url_settings),Database,IMPLEMENT,"REQ-FUNC-027, REQ-FUNC-028, REQ-FUNC-029, REQ-FUNC-031, REQ-FUNC-034, REQ-FUNC-037, REQ-FUNC-038, REQ-FUNC-039, REQ-FUNC-040, REQ-FUNC-041, REQ-FUNC-042, REQ-FUNC-077, REQ-FUNC-080",-,-,-,-,`supabase/migrations/0001_schema_base.sql`,P0,TEST-RLS-BASIC,TASK-DB-SCHEMA-BASE.md,W03
50,DB-RLS-BASE,6개 테이블 RLS 정책,Database,IMPLEMENT,"REQ-FUNC-044, REQ-NF-013",-,-,-,DB-SCHEMA-BASE,`supabase/migrations/0002_rls_base.sql`,P0,TEST-RLS-BASIC,TASK-DB-RLS-BASE.md,W04
51,DB-ACCESS,타입 안전 쿼리/서버 액션 헬퍼,Database,IMPLEMENT,"REQ-FUNC-017, REQ-FUNC-033, REQ-NF-014, REQ-NF-015, REQ-NF-017",-,-,-,"DB-SCHEMA-BASE, DB-RLS-BASE","`src/lib/supabase/queries.ts`, `src/lib/supabase/client.ts`",P0,TEST-RLS-BASIC,TASK-DB-ACCESS.md,W05
52,DB-SEED-BASE,로컬/개발용 시드 데이터,Database,IMPLEMENT,-,-,-,-,DB-SCHEMA-BASE,`supabase/seed.sql`,P2,TEST-RLS-BASIC,TASK-DB-SEED-BASE.md,W04
53,API-MATE-POSTS,동행 모집글 CRUD+자동 마감,API,IMPLEMENT,"REQ-FUNC-030, REQ-FUNC-031, REQ-FUNC-037, REQ-FUNC-038, REQ-NF-005","SCR-003, SCR-004","`/travel-tools`, `/mates`",-,DB-ACCESS,`src/lib/actions/mate-posts.ts`,P0,"TEST-RLS-BASIC, UNIT-MATE-STATE, E2E-MATE-AUTH",TASK-API-MATE-POSTS.md,W06
54,API-MATE-APPLICATIONS,참가 요청 생성/승인/거절,API,IMPLEMENT,"REQ-FUNC-034, REQ-FUNC-035, REQ-FUNC-036, REQ-NF-005",SCR-004,`/mates`,-,"DB-ACCESS, API-MATE-POSTS",`src/lib/actions/mate-applications.ts`,P0,"TEST-RLS-BASIC, UNIT-MATE-STATE, E2E-MATE-AUTH",TASK-API-MATE-APPLICATIONS.md,W07
55,API-BLOCKS-REPORTS,신고·차단 생성 및 Admin 처리,API,IMPLEMENT,"REQ-FUNC-039, REQ-FUNC-040, REQ-FUNC-041, REQ-FUNC-042, REQ-NF-019","SCR-004, SCR-005","`/mates`, `/account`",-,DB-ACCESS,`src/lib/actions/blocks-reports.ts`,P0,"TEST-RLS-BASIC, UNIT-MATE-STATE, E2E-MATE-AUTH",TASK-API-BLOCKS-REPORTS.md,W06
56,API-AUTH-PROFILE,이메일 인증/로그인/프로필/성인확인,API,IMPLEMENT,"REQ-FUNC-027, REQ-FUNC-028, REQ-FUNC-029, REQ-FUNC-033, REQ-FUNC-066","SCR-003, SCR-005","`/travel-tools`, `/account`",-,DB-ACCESS,"`src/lib/actions/auth-profile.ts`, `src/app/auth/callback/route.ts`",P0,"TEST-RLS-BASIC, UNIT-MATE-STATE, E2E-MATE-AUTH",TASK-API-AUTH-PROFILE.md,W06
